record_id,batch,release_item,base_name,status,boundary_violation_rows,matched_polity_names,contexts,row_count,year_min,year_max,start_values,end_values,source_note,source_titles,source_raw_sample
125,v1.0.0-batch6_7,郳国,郳国,FAIL_BOUNDARY_VIOLATION,10,郳國,周/周代诸侯国,329,-653,-325,-653,-335,,《左传》及战国史,前335年被楚国所灭
126,v1.0.0-batch6_7,滥国,滥国,FAIL_BOUNDARY_VIOLATION,11,濫國,周/周代诸侯国,268,-643,-510,-643,-521,,《左传·昭公二十一年》,前521年降于鲁国
127,v1.0.0-batch6_7,潞氏,潞氏,PASS_DATA_PRESENT,0,潞氏,周/周代诸侯国,11,-604,-594,-604,-594,,《左传·宣公十五年》,前594年被晋国所灭
128,v1.0.0-batch6_7,巩国,巩国,PASS_DATA_PRESENT,0,鞏國,周/周代诸侯国,2,-516,-516,-516,-516,,《左传·昭公二十六年》,前516年参与王子朝之乱被晋国联军灭亡
129,v1.0.0-batch6_7,薛国,薛国,PASS_DATA_PRESENT,0,薛國,周/周代诸侯国,50,-510,-485,,-327,,战国史考,约前327年被齐国、魏国所灭
130,v1.0.0-batch6_7,西周国,西周国,PASS_DATA_PRESENT,0,西周國,周/周代诸侯国,185,-440,-256,-440,-256,,《史记·周本纪》,前256年被秦国所灭
131,v1.0.0-batch5,谭国,谭国,PASS_DATA_PRESENT,0,譚國,周/周代诸侯国,726,-1046,-684,-1046,-684,,《左传·庄公十年》,前684年被齐国所灭
132,v1.0.0-batch5,越国,越国,PASS_DATA_PRESENT,0,越國,周/周代诸侯国,1652,-1046,-222,-2032,-222,,《史记·越王勾践世家》,前222年秦降越君，置会稽郡
133,v1.0.0-batch5,邾国,邾国,PASS_DATA_PRESENT,0,邾國,周/周代诸侯国,1532,-1046,-281,-1046,-281,,《左传》及《史记》,约前281年被楚国所灭
134,v1.0.0-batch5,郕国,郕国,PASS_DATA_PRESENT,0,郕國,周/周代诸侯国,639,-1046,-408,-1046,-408,,《左传》,前408年亡于齐国（一说附庸于鲁）
135,v1.0.0-batch5,酆国,酆国,PASS_DATA_PRESENT,0,酆國,周/周代诸侯国,24,-1046,-1023,-1046,-1023,,《左传·昭公四年》及文献,周康王十二年(约前1009年)被灭
136,v1.0.0-batch5,陈国,陈国,PASS_DATA_PRESENT,0,陳國,周/周代诸侯国,1140,-1046,-478,-1046,-478,,《史记·陈杞世家》,前478年被楚惠王所灭
137,v1.0.0-batch5,霍国,霍国,PASS_DATA_PRESENT,0,霍國,周/周代诸侯国,386,-1046,-661,-1046,-661,,《左传·闵公元年》,前661年被晋献公所灭
138,v1.0.0-batch5,顿国,顿国,PASS_DATA_PRESENT,0,頓國,周/周代诸侯国,1102,-1046,-496,-1046,-496,,《左传·定公十四年》,前496年被楚国所灭
139,v1.0.0-batch5,鲁国,鲁国,PASS_DATA_PRESENT,0,魯國,周/周代诸侯国,1582,-1046,-256,-1046,-256,,《史记·鲁周公世家》,前256年被楚考烈王所灭
140,v1.0.0-batch5,齐国,齐国,PASS_DATA_PRESENT,0,齊國,周/周代诸侯国,3432,-1046,-221,-1046,-221,,《史记·田敬仲完世家》,前221年被秦王政所灭
141,v1.0.0-batch5,曹国,曹国,PASS_DATA_PRESENT,0,曹國,周/周代诸侯国,574,-1041,-487,-1041,-487,,《史记·管蔡世家》/《左传》,前487年被宋景公所灭
142,v1.0.0-batch5,宋国,宋国,PASS_DATA_PRESENT,0,宋國,周/周代诸侯国,1512,-1040,-286,-1040,-286,,《史记·宋微子世家》,前286年被齐国(齐湣王)所灭
143,v1.0.0-batch5,江国,江国,PASS_DATA_PRESENT,0,江國,周/周代诸侯国,418,-1040,-623,-1040,-623,,《左传·文公四年》,前623年被楚穆王所灭
144,v1.0.0-batch5,沈国,沈国,PASS_DATA_PRESENT,0,沈國,周/周代诸侯国,535,-1040,-506,-1040,-506,,《左传·定公四年》,前506年被蔡国所灭
145,v1.0.0-batch5,祭国,祭国,PASS_DATA_PRESENT,0,祭國,周/周代诸侯国,272,-1040,-769,-1040,-769,,《左传·隐公元年》及相关文献,前715年左右被郑国所并
146,v1.0.0-batch4,祝国,祝国,PASS_DATA_PRESENT,0,祝國,周/周代诸侯国,558,-1046,-768,-1046,-768,,《左传·隐公七年》,前768年被齐国所灭
147,v1.0.0-batch4,管国,管国,PASS_DATA_PRESENT,0,管國,周/周代诸侯国,14,-1046,-1040,-1046,-1039,,《史记·管蔡世家》,三监之乱后管叔鲜被杀，管国灭亡
148,v1.0.0-batch4,舒国,舒国,PASS_DATA_PRESENT,0,舒國,周/周代诸侯国,780,-1046,-657,-1046,-657,,《左传·僖公三年》,前657年被徐国所灭（一说楚国）
149,v1.0.0-batch4,舒庸国,舒庸国,PASS_DATA_PRESENT,0,舒庸國,周/周代诸侯国,473,-1046,-574,-1046,-574,,《左传·成公十七年》,前574年被楚国所灭
150,v1.0.0-batch4,舒蓼国,舒蓼国,PASS_DATA_PRESENT,0,舒蓼國,周/周代诸侯国,446,-1046,-601,-1046,-601,,《左传·宣公八年》,前601年被楚国所灭
151,v1.0.0-batch4,舒鸠国,舒鸠国,PASS_DATA_PRESENT,0,舒鳩國,周/周代诸侯国,998,-1046,-548,-1046,-548,,《左传·襄公二十五年》,前548年被楚国所灭
152,v1.0.0-batch4,英国,英国,PASS_DATA_PRESENT,0,英國,周/周代诸侯国,802,-1046,-646,-1046,-646,,《左传·僖公十四年》,前646年被楚成王所灭
153,v1.0.0-batch4,莒国,莒国,PASS_DATA_PRESENT,0,莒國,周/周代诸侯国,2464,-1046,-431,-1046,-431,,《史记·楚世家》,前431年被楚简王所灭
154,v1.0.0-batch4,蔡国,蔡国,PASS_DATA_PRESENT,0,蔡國,周/周代诸侯国,1206,-1046,-447,-1046,-447,,《史记·管蔡世家》,前447年被楚惠王所灭
155,v1.0.0-batch4,虞国,虞国,PASS_DATA_PRESENT,0,虞國,周/周代诸侯国,784,-1046,-655,-1046,-655,,《左传·僖公五年》,前655年被晋献公所灭
156,v1.0.0-batch4,西周,西周,PASS_DATA_PRESENT,0,西周,周/周代诸侯国 | 周/周朝,554,-1046,-771,-1046,-771,,《史记·周本纪》,前771年犬戎攻破镐京，西周灭亡
157,v1.0.0-batch4,西虢国,西虢国,PASS_DATA_PRESENT,0,西虢國,周/周代诸侯国,784,-1046,-655,-1046,-655,,《左传·僖公五年》,前655年被晋献公所灭
158,v1.0.0-batch4,许国,许国,PASS_DATA_PRESENT,0,許國,周/周代诸侯国,1132,-1046,-481,-1046,-481,,《左传》及《史记》,前481年(或战国初年)被楚国所灭
159,v1.0.0-batch3,根牟国,根牟国,PASS_DATA_PRESENT,0,根牟國,周/周代诸侯国,894,-1046,-600,-1046,-600,,《左传·宣公九年》,前600年被鲁国所灭
160,v1.0.0-batch3,楚国,楚国,PASS_DATA_PRESENT,0,楚国,周/周代诸侯国,1648,-1046,-223,-1046,-223,,《史记·楚世家》,前223年王翦灭楚
161,v1.0.0-batch3,殷国,殷国,PASS_DATA_PRESENT,0,殷國,周/周代诸侯国,14,-1046,-1040,-1046,-1039,,《史记·周本纪》,三监之乱后武庚被杀，殷国灭亡
162,v1.0.0-batch3,毛国,毛国,PASS_DATA_PRESENT,0,毛國,周/周代诸侯国,1062,-1046,-516,-1046,-516,,《左传·昭公二十六年》,前516年因参与王子朝之乱亡于秦国
163,v1.0.0-batch3,温国,温国,PASS_DATA_PRESENT,0,溫國,周/周代诸侯国,794,-1046,-650,-1046,-650,,《左传·僖公十年》,前650年亡于北狄
164,v1.0.0-batch3,滕国,滕国,PASS_DATA_PRESENT,0,滕國,周/周代诸侯国,3000,-1046,-297,-1046,-297,,《史记》及战国史考,约前297年亡于宋国
165,v1.0.0-batch3,潘国,潘国,PASS_DATA_PRESENT,0,潘國,周/周代诸侯国,1086,-1046,-504,-1046,-504,,《左传·定公六年》,前504年被楚国所灭
166,v1.0.0-batch3,焦国,焦国,PASS_DATA_PRESENT,0,焦國,周/周代诸侯国,544,-1046,-775,-1046,-775,,《史记》及地理志,前775年亡于西虢国
167,v1.0.0-batch3,燕国,燕国,FAIL_BOUNDARY_VIOLATION,2,燕國,周/周代诸侯国,3308,-1046,-221,-1046,-222,,《史记·燕召公世家》,前222年王贲灭燕
168,v1.0.0-batch3,毕国,毕国,PASS_DATA_PRESENT,0,畢國,周/周代诸侯国,2,-1046,-1046,-1046,-1046,,《史记》及金文,春秋初期亡于西戎
169,v1.0.0-batch2,吴国,吴国,PASS_DATA_PRESENT,0,吳國,周/周代诸侯国,2296,-1046,-473,-1096,-473,,《史记·吴太伯世家》,前473年被越国所灭
170,v1.0.0-batch2,周国,周国,PASS_DATA_PRESENT,0,周國,周/周代诸侯国,1,-1046,-1046,-1046,-1046,,《史记·周本纪》,西周王畿前身或宗庙所在地
171,v1.0.0-batch2,宿国,宿国,PASS_DATA_PRESENT,0,宿國,周/周代诸侯国,726,-1046,-684,-1046,-684,,《春秋·庄公十年》,前684年被宋国所灭
172,v1.0.0-batch2,巴国,巴国,PASS_DATA_PRESENT,0,巴國,周/周代诸侯国,1462,-1046,-316,-1046,-316,,《华阳国志·巴志》,前316年被秦惠文王所灭
173,v1.0.0-batch2,应国,应国,PASS_DATA_PRESENT,0,應國,周/周代诸侯国,2,-1046,-1046,-1046,-1046,,《左传》、应国墓地考古,春秋中期被楚国所灭
